product_id,scope,applicable_product_ids,evidence_type,source_url,source_title,matched_text,sha256,review_status
SV004,PRODUCT,"[""SV004""]",DOCUMENT,https://obank.kbstar.com/quics?page=C062182,일반정기적금 상품설명서,일반정기적금_250901.pdf,6da6a9967059315cfdc2cc1ff9a7f833860df8b6d345290d3f8232a048b3aa3e,VERIFIED
SV006,PRODUCT,"[""SV006""]",DOCUMENT,https://obank.kbstar.com/quics?page=C062182,상품설명서,KB상호부금_자유_250901.pdf,13302a9bff5b12ed7df7d7ac63d4f801842abb08854119d2c52517be33e203bb,VERIFIED
TD001,PRODUCT,"[""TD001""]",DOCUMENT,https://obank.kbstar.com/quics?page=C062180,KB Star 정기예금 특약,KBStar예금특약20221215.pdf,13c4b0e82091eeef8f95a05234a289e4694e92430d114a6af7d1458b7cd60692,VERIFIED
TD001,PRODUCT,"[""TD001""]",DOCUMENT,https://obank.kbstar.com/quics?page=C062180,KB Star 정기예금 상품설명서,KBStar정기예금_250901.pdf,6c39e80f9abab4301359075450b053c4ae2af883b322a11dba25ac254967ffc3,VERIFIED
TD003,PRODUCT,"[""TD003""]",DOCUMENT,https://obank.kbstar.com/quics?page=C062180,일반정기예금 상품설명서,일반정기예금_250901.pdf,22b438c4d28be5b3ecf8c68e74479df6845c5b7b07ebf1eff898920c774b92cf,VERIFIED
L001,PRODUCT,"[""L001""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C111884,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,"status=AVAILABLE_APPLY; channels=INTERNET_BANKING,STAR_BUSINESS_BANKING; mode=DIRECT_ONLINE; role=DIRECT_CANDIDATE",,FINAL_V4
L002,PRODUCT,"[""L002""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C100265,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,"status=AVAILABLE_APPLY; channels=INTERNET_BANKING,STAR_BUSINESS_BANKING; mode=DIRECT_ONLINE; role=DIRECT_CANDIDATE",,FINAL_V4
L003,PRODUCT,"[""L003""]",RUNTIME_OFFICIAL_URL_V4,https://zloan.kbstar.com/quics?page=C109567,OFFICIAL_PRODUCT_DETAIL_OR_APPLICATION_INFO,"status=AVAILABLE_APPLY; channels=KB_STAR_BANKING,MOBILE; mode=DIRECT_MOBILE; role=DIRECT_CANDIDATE",,FINAL_V4
L003,PRODUCT,"[""L003""]",CURRENT_STATUS_MANUAL_REVIEW_V4,https://zloan.kbstar.com/quics?page=C109567,OFFICIAL_CURRENT_PRODUCT_PAGE,공식 KB소상공인 보증서대출 페이지에서 모바일 대출신청·보증신청·대출실행 절차 확인,,VERIFIED_2026-07-21
L004,PRODUCT,"[""L004""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C110956,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,"status=AVAILABLE_APPLY; channels=INTERNET_BANKING,STAR_BUSINESS_BANKING; mode=DIRECT_ONLINE; role=DIRECT_CANDIDATE",,FINAL_V4
L005,PRODUCT,"[""L005""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?cc=b035196%3Ab035393&isNew=N&page=C016280&prcode=LN25001564,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,"status=AVAILABLE_APPLY; channels=BRANCH,STAR_BUSINESS_BANKING; mode=DIRECT_ONLINE; role=DIRECT_CANDIDATE",,FINAL_V4
L006,PRODUCT,"[""L006""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C112610,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,"status=AVAILABLE_APPLY; channels=KB_STAR_BANKING,MOBILE,STAR_BUSINESS_BANKING; mode=DIRECT_MOBILE; role=DIRECT_CANDIDATE",,FINAL_V4
L007,PRODUCT,"[""L007""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C016280&cc=b035196:b035393&%EB%B8%8C%EB%9E%9C%EB%93%9C%EC%83%81%ED%92%88%EC%BD%94%EB%93%9C=LN25001273&QSL=F&prcode=LN25001273,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,"status=AVAILABLE_APPLY; channels=INTERNET_BANKING,KB_STAR_BANKING,MOBILE; mode=DIRECT_ONLINE; role=DIRECT_CANDIDATE",,FINAL_V4
D001,PRODUCT,"[""D001""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?cc=b035196%3Ab035393&isNew=Y&page=C016280&prcode=LN25001590,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=AVAILABLE_CONSULT; channels=BRANCH; mode=CONSULTATION; role=DIRECT_CANDIDATE,,FINAL_V4
D002,PRODUCT,"[""D002""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?cc=b035196%3Ab035393&isNew=Y&page=C016280&prcode=LN25001614,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=AVAILABLE_CONSULT; channels=BRANCH; mode=CONSULTATION; role=DIRECT_CANDIDATE,,FINAL_V4
D003,PRODUCT,"[""D003""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?cc=b035196%3Ab035393&isNew=Y&page=C016280&prcode=LN25001621,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=AVAILABLE_CONSULT; channels=BRANCH; mode=CONSULTATION; role=DIRECT_CANDIDATE,,FINAL_V4
S001,PRODUCT,"[""S001""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C059034,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,"status=AVAILABLE_APPLY; channels=INTERNET_BANKING,MOBILE; mode=DIRECT_ONLINE; role=DIRECT_CANDIDATE",,FINAL_V4
S002,PRODUCT,"[""S002""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C067219,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,"status=AVAILABLE_APPLY; channels=BRANCH,INTERNET_BANKING,STAR_BUSINESS_BANKING; mode=DIRECT_ONLINE; role=DIRECT_CANDIDATE",,FINAL_V4
S003,PRODUCT,"[""S003""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C101744,OFFICIAL_PRODUCT_DETAIL_OR_APPLICATION_INFO,status=AVAILABLE_CONSULT; channels=INTERNET_BANKING; mode=CONSULTATION; role=DIRECT_CANDIDATE,,FINAL_V4
S003,PRODUCT,"[""S003""]",CURRENT_STATUS_MANUAL_REVIEW_V4,https://obiz.kbstar.com/quics?page=C101744,OFFICIAL_CURRENT_SERVICE_MENU,KB기업뱅킹의 상담안내 및 신청 메뉴와 전자약정·건별대출 절차 확인,,VERIFIED_2026-07-21
S004,PRODUCT,"[""S004""]",RUNTIME_OFFICIAL_URL_V4,https://obank.kbstar.com/quics?articleClass=1&articleId=137234&bbsMode=view&boardId=669&compId=b058334&page=C020721&searchCondition=title&searchStr=&viewPage=3,HOLDING_OR_LEGACY_REFERENCE,status=HOLDING_ONLY; channels=; mode=NOT_APPLICABLE; role=NOT_CURRENTLY_RECOMMENDABLE,,FINAL_V4
S005,PRODUCT,"[""S005""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?cc=b035196%3Ab035393&page=C016280&%EB%B8%8C%EB%9E%9C%EB%93%9C%EC%83%81%ED%92%88%EC%BD%94%EB%93%9C=LN25001490,OFFICIAL_PRODUCT_DETAIL_OR_APPLICATION_INFO,status=AVAILABLE_APPLY; channels=MOBILE; mode=DIRECT_MOBILE; role=DIRECT_CANDIDATE,,FINAL_V4
S005,PRODUCT,"[""S005""]",CURRENT_STATUS_MANUAL_REVIEW_V4,https://obiz.kbstar.com/quics?cc=b035196%3Ab035393&page=C016280&%EB%B8%8C%EB%9E%9C%EB%93%9C%EC%83%81%ED%92%88%EC%BD%94%EB%93%9C=LN25001490,OFFICIAL_CURRENT_PRODUCT_PAGE,공식 상품코드 LN25001490 페이지에서 판매 중 및 스마트폰 신청 안내 확인,,VERIFIED_2026-07-21
SC001,PRODUCT,"[""SC001""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C104470,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=AVAILABLE_CONSULT; channels=BRANCH; mode=CONSULTATION; role=DIRECT_CANDIDATE,,FINAL_V4
SC002,PRODUCT,"[""SC002""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C101247,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=CURRENT_SERVICE; channels=; mode=NOT_APPLICABLE; role=NOT_CURRENTLY_RECOMMENDABLE,,FINAL_V4
SC003,PRODUCT,"[""SC003""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C102419,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=CURRENT_SERVICE; channels=; mode=NOT_APPLICABLE; role=NOT_CURRENTLY_RECOMMENDABLE,,FINAL_V4
SC004,PRODUCT,"[""SC004""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C110698,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=AVAILABLE_APPLY; channels=INTERNET_BANKING; mode=DIRECT_ONLINE; role=DIRECT_CANDIDATE,,FINAL_V4
SC005,PRODUCT,"[""SC005""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C110699,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=CURRENT_SERVICE; channels=; mode=NOT_APPLICABLE; role=NOT_CURRENTLY_RECOMMENDABLE,,FINAL_V4
SC006,PRODUCT,"[""SC006""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C112735,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,"status=AVAILABLE_APPLY; channels=INTERNET_BANKING,STAR_BUSINESS_BANKING; mode=DIRECT_ONLINE; role=DIRECT_CANDIDATE",,FINAL_V4
B001,PRODUCT,"[""B001""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C023638,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=CURRENT_SERVICE; channels=; mode=NOT_APPLICABLE; role=NOT_CURRENTLY_RECOMMENDABLE,,FINAL_V4
B002,PRODUCT,"[""B002""]",RUNTIME_OFFICIAL_URL_V4,https://obiz.kbstar.com/quics?page=C023910,OFFICIAL_PRODUCT_DETAIL_OR_SERVICE_PAGE,status=CURRENT_SERVICE; channels=; mode=NOT_APPLICABLE; role=EXPANSION_REFERENCE,,FINAL_V4
